GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,Mean.SVM.Score,Mean.FP.Rate
148398,1,809993,929961,147,17,683,0.28352,0.38839,0.411132662670723,0.273861111111111
26155,1,829583,944679,194,21,683,0.094532,0.46234,0.508488000356617,0.255083333333333
339451,1,845967,951099,198,21,683,0.23608,0.40668,0.663168113466119,0.192416666666667
84069,1,851872,960488,212,22,683,0.14542,0.44219,0.301493010387108,0.347777777777778
84808,1,860579,967473,208,21,683,-0.088186,0.53514,0.0676172740062635,0.5095
57801,1,884342,986608,216,21,683,-0.22893,0.59054,0.266843957291236,0.367194444444445
9636,1,898847,999920,252,20,683,-0.51065,0.6952,0.525418044736445,0.206611111111111
375790,1,905503,1041499,379,33,683,-0.888,0.81273,-0.256576392065519,0.603972222222222
401934,1,957126,1059687,326,32,683,-2.1237,0.98315,-0.758576043736598,0.758194444444445
54991,1,967198,1101736,516,43,683,-0.066103,0.52635,0.327201583832575,0.330638888888889
254173,1,1059286,1183315,652,53,683,1.6273,0.051837,0.573766774720664,0.184611111111111
8784,1,1088888,1192163,556,40,683,2.0275,0.021306,0.0775940404552785,0.478305555555556
7293,1,1096706,1199703,527,31,683,1.8971,0.02891,-0.052234296034021,0.575305555555556
51150,1,1102288,1217447,580,35,683,2.0617,0.019619,0.144186247481335,0.432222222222222
126792,1,1117629,1220421,529,34,683,2.1234,0.016859,0.653672138718988,0.187305555555556
388581,1,1127826,1232102,496,38,683,2.3412,0.0096106,0.0982149537859962,0.481027777777778
118424,1,1139292,1259234,544,38,683,2.1966,0.014026,-0.245685922727046,0.632666666666667
6339,1,1165816,1277409,443,45,683,2.1211,0.016959,0.546323784275797,0.179916666666667
116983,1,1177764,1293304,436,41,683,1.8472,0.032362,0.249727688688294,0.380638888888889
126789,1,1193962,1297057,381,33,683,1.3544,0.087802,0.325771237615026,0.326527777777778
54973,1,1196965,1310067,464,40,683,1.8052,0.035525,0.0590553966334744,0.497805555555556
80772,1,1210136,1314276,454,38,683,1.6031,0.054462,0.62222552903438,0.143111111111111
83756,1,1216726,1319844,433,36,683,1.4023,0.08041,0.22951323276293,0.40875
1855,1,1220658,1334509,443,34,683,1.422,0.077512,0.735647375190787,0.147888888888889
54587,1,1238071,1347183,396,25,683,1.4916,0.067903,-0.157320229754652,0.603
54998,1,1259110,1360818,391,20,683,1.2784,0.10056,0.613778372571963,0.183694444444444
81669,1,1271091,1384718,424,27,683,1.3575,0.087311,0.44042202353415,0.261638888888889
55052,1,1287276,1392693,410,27,683,1.3836,0.083244,0.253187023672158,0.369722222222222
441869,1,1303800,1406824,369,28,683,0.9676,0.16662,0.548662770532727,0.186055555555556
643965,1,1311508,1413167,337,27,683,0.64799,0.2585,-0.59869178396125,0.747666666666667
64856,1,1320903,1428262,379,31,683,0.65943,0.25481,0.0179069210444111,0.510833333333333
219293,1,1328152,1455538,482,35,683,0.50514,0.30673,0.200775094453898,0.426694444444444
83858,1,1357139,1494852,546,34,683,0.11388,0.45467,0.446259645810659,0.273138888888889
55210,1,1397523,1520067,474,28,683,-0.045108,0.51799,0.190648301845218,0.422666666666667
339453,1,1420158,1525740,408,25,683,-0.059545,0.52374,-0.610740334723219,0.732055555555556
29101,1,1427053,1560262,368,23,683,-0.2421,0.59565,0.507219673409213,0.211111111111111
643988,1,1483388,1585476,130,11,683,-0.16097,0.56394,-0.202102615306103,0.625444444444444
142678,1,1500795,1615990,83,7,683,0.0044923,0.49821,-0.1915064198654,0.622666666666667
8510,1,1517060,1620030,2,1,683,0.084197,0.46645,-0.780965740941279,0.781027777777778
728661,1,1541486,1674243,57,5,683,0.68904,0.2454,0.272759286666529,0.370833333333333
728642,1,1583822,1705999,122,9,683,0.66925,0.25167,0.750311009574035,0.0943055555555556
9906,1,1606277,1727438,146,11,683,0.90466,0.18282,0.379036134857433,0.296194444444444
65220,1,1632671,1761508,178,13,683,1.0632,0.14385,0.941117286391788,0.0658611111111111
2782,1,1666725,1872552,366,15,683,1.184,0.11821,0.0124273982775735,0.495666666666667
163688,1,1796266,1898733,254,14,683,0.89209,0.18617,0.561180368552956,0.17025
339456,1,1799029,1900740,273,16,683,0.75853,0.22407,0.537316480903414,0.186194444444444
85452,1,1803390,1985276,374,21,683,0.51652,0.30275,0.986780907757276,0.0714166666666667
2563,1,1900768,2012192,232,28,683,-0.49494,0.68968,0.426895617315693,0.299305555555556
5590,1,1931909,2166834,740,59,683,-0.23054,0.59116,-0.0607388203840517,0.536111111111111
199990,1,2065899,2194159,421,48,683,0.57233,0.28355,0.217036679080335,0.413305555555556
6497,1,2110134,2291652,748,97,683,1.2054,0.11402,0.51870281606504,0.217333333333333
79906,1,2201719,2373190,852,118,683,1.1581,0.12342,0.379147817739472,0.335166666666667
11079,1,2273214,2386883,570,94,683,0.7305,0.23254,0.615487652529465,0.190944444444444
5192,1,2286241,2394010,544,94,683,0.68999,0.2451,0.294819045644746,0.349416666666667
9651,1,2357754,2486964,710,87,683,0.078212,0.46883,0.103336632020413,0.477722222222222
55229,1,2389975,2508061,625,78,683,0.42054,0.33705,0.434112489314897,0.256222222222222
388585,1,2410184,2511684,514,54,683,0.60661,0.27205,0.0656548430492277,0.507694444444444
8764,1,2437291,2545268,565,48,683,0.60784,0.27165,0.378633151095954,0.31325
127281,1,2467899,2572908,515,31,683,-0.36459,0.64229,0.128575958356967,0.447722222222222
79258,1,2472078,2614499,572,39,683,-0.42132,0.66324,0.260560114295591,0.370416666666667
100287898,1,2522807,2756230,1014,40,683,-0.74924,0.77314,-0.688710113179768,0.759027777777778
140625,1,2888046,2989467,551,28,683,-0.48889,0.68754,0.290696870494925,0.368972222222222
63976,1,2935565,3405185,2294,219,683,-0.28942,0.61387,0.257061799777707,0.385277777777778
27237,1,3321147,3447677,584,70,683,0.71999,0.23577,0.138897380252828,0.451222222222222
1953,1,3354506,3578059,989,117,683,1.194,0.11625,0.300071585218354,0.33625
127262,1,3491556,3596695,444,63,683,0.49983,0.3086,0.359142282242475,0.295666666666667
49856,1,3497331,3616671,483,69,683,0.3906,0.34805,0.382825923971662,0.293916666666667
7161,1,3519129,3702765,740,100,683,1.2937,0.097887,0.496712729310411,0.249138888888889
148870,1,3618965,3738209,574,56,683,1.779,0.037617,0.223559634279852,0.406083333333333
388588,1,3639352,3742546,536,46,683,1.8299,0.033629,-0.0663901416764676,0.580611111111111
57470,1,3646784,3763068,656,41,683,1.7509,0.039979,0.599823403341175,0.150111111111111
9731,1,3678645,3823797,965,53,683,1.5961,0.055232,0.749118169911518,0.0791944444444444
1677,1,3723845,3851993,738,51,683,0.95957,0.16864,0.283169633241046,0.346111111111111
339448,1,3755697,3866857,520,47,683,0.60815,0.27154,0.185341741365219,0.410638888888889
55966,1,4665105,4893851,1404,156,683,0.50664,0.3062,0.806498672342403,0.0881666666666667
261734,1,5872870,6102618,947,57,683,-1.1317,0.87112,-0.116133395342719,0.575888888888889
8514,1,6002358,6211253,829,82,683,-0.90471,0.81719,0.32621347726112,0.342472222222222
26038,1,6111847,6290194,657,80,683,-0.65495,0.74375,0.70087732531442,0.138583333333333
6146,1,6195080,6309679,406,51,683,-0.65375,0.74336,0.580352050513744,0.192833333333333
388591,1,6216189,6331359,367,45,683,-0.53121,0.70236,-0.14552010484605,0.598666666666667
23463,1,6231253,6346044,352,45,683,-0.15485,0.56153,0.267051314238131,0.367305555555556
390992,1,6254252,6355638,314,41,683,0.17782,0.42943,-0.866005851197744,0.812361111111111
387509,1,6257406,6371035,385,50,683,0.26326,0.39618,0.755554177063593,0.135916666666667
11332,1,6274332,6503826,929,44,683,1.0222,0.15335,0.753756780801461,0.146583333333333
54626,1,6425292,6534724,421,30,683,0.67044,0.25129,0.116814367637045,0.46725
83715,1,6434836,6571004,510,40,683,0.33597,0.36845,-0.00432536174446374,0.524916666666667
8718,1,6470787,6577432,395,51,683,-0.19897,0.57886,0.609980571897259,0.155055555555556
57449,1,6476152,6630121,616,51,683,-0.69341,0.75597,0.452025764909549,0.281833333333333
79707,1,6531407,6664658,530,48,683,-0.70374,0.7592,0.371667317462476,0.2975
80835,1,6564987,6689817,493,54,683,-0.61575,0.73097,0.334408590449278,0.334916666666667
3104,1,6590051,6699340,407,49,683,-1.01,0.84375,0.397550490562495,0.284555555555556
9903,1,6600784,6712958,410,51,683,-1.0014,0.84168,0.388494430303333,0.281305555555556
148479,1,6623756,6734093,365,46,683,-0.56498,0.71396,0.698447034831198,0.0927777777777778
90326,1,6634925,6745646,346,39,683,-0.53662,0.70423,0.688456566281282,0.109027777777778
55735,1,6644228,6811966,578,42,683,-0.29919,0.6176,0.497861065242144,0.217083333333333
23261,1,6795384,7879766,4342,277,683,1.0514,0.14653,0.731863297461259,0.139222222222222
9341,1,7781329,7891492,431,51,683,-0.69488,0.75643,0.62579184735031,0.170166666666667
8863,1,7794413,7955241,744,58,683,-0.82338,0.79485,0.132425398010967,0.447611111111111
10911,1,7857672,7963551,581,45,683,-0.71514,0.76274,0.818888458834339,0.0575
3604,1,7925931,8053225,504,49,683,-1.5635,0.94103,0.517614894718401,0.199138888888889
11315,1,7971714,8095342,351,35,683,-1.2613,0.8964,1.11021098491595,0.0435833333333333
54206,1,8021779,8136393,328,31,683,-1.4491,0.92634,0.396481412771145,0.269527777777778
50651,1,8328171,8454227,423,54,683,2.3656,0.0090001,0.608256644176683,0.14775
473,1,8362464,8927699,1374,53,683,3.0153,0.0012837,0.827547961943168,0.07775
2023,1,8871059,8989151,420,50,683,2.0465,0.020353,0.653298767558835,0.116638888888889
765,1,8955893,9085151,630,114,683,1.0405,0.14906,0.504498336062183,0.200194444444444
155184,1,9013359,9136404,583,87,683,1.8952,0.029032,-0.492893182710524,0.702916666666667
