GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
148398       1     849993     889961     16       2  385      0.35587      0.36097
26155        1     869583     904679      9       1  385       1.7959     0.036252
339451       1     885967     911099      7       1  384       1.8483     0.032279
84069        1     891872     920488     10       2  521       1.0206      0.15373
84808        1     900579     927473     19       2  458      0.80716      0.20979
57801        1     924342     946608     27       2  386       1.1316      0.12889
9636         1     938847     959920      8       1  385       1.3596     0.086975
375790       1     945503    1001499     20       4  380      0.43292      0.33253
401934       1     997126    1019687     35       4  504     -0.61724      0.73146
54991        1    1007198    1061736    117       6  795       -1.369      0.91451
254173       1    1099286    1143315     95       8  781      0.88258      0.18873
8784         1    1128888    1152163     54       7  787       0.7672      0.22148
7293         1    1136706    1159703     52       3  820       1.1798      0.11903
51150        1    1142288    1177447    103       3  877       1.2435      0.10684
126792       1    1157629    1180421     87       3  876       1.2319      0.10899
388581       1    1167826    1192102     42       3  907      0.74541      0.22801
118424       1    1179292    1219234     37       5  802      0.43505      0.33176
6339         1    1205816    1237409     18       3  623     -0.11567      0.54604
116983       1    1217764    1253304     20       3  493     -0.83328      0.79766
126789       1    1233962    1257057     20       3  493     -0.83314      0.79762
54973        1    1236965    1270067     33       4  467        -1.06      0.85542
80772        1    1250136    1274276     21       2  437      -1.1745      0.87991
83756        1    1256726    1279844     21       2  537      -1.0062      0.84284
1855         1    1260658    1294509     31       2  690     -0.62042      0.73251
54587        1    1278071    1307183     70       4  879     -0.54132      0.70586
54998        1    1299110    1320818     74       4  885     -0.36229      0.64143
81669        1    1311091    1344718     43       4  773    -0.066045      0.52633
55052        1    1327276    1352693     32       3  735      0.15683      0.43769
441869       1    1343800    1366824     43       2  719   -0.0083739      0.50334
643965       1    1351508    1373167     30       3  634     -0.24045      0.59501
64856        1    1360903    1388262      6       1  382      -1.9133      0.97215
219293       1    1368152    1415538      8       1  515       1.0454      0.14792
83858        1    1397139    1454852     36       3  665       1.6764     0.046831
55210        1    1437523    1480067     20       4  706      0.84147      0.20004
339453       1    1460158    1485740     15       1  887      0.55964      0.28786
29101        1    1467053    1520262     56       2  824      0.52613       0.2994
9906         1    1646277    1687438     15       2  524     -0.38269      0.64903
65220        1    1672671    1721508     65       7  755     -0.19255      0.57634
2782         1    1706725    1832552    127      11  879    0.0028812      0.49885
163688       1    1836266    1858733     36       3  460      -1.0096      0.84365
339456       1    1839029    1860740     38       3  484     -0.97882      0.83617
85452        1    1843390    1945276    154      10  546     -0.60627      0.72783
2563         1    1940768    1972192     17       1  603      -1.0655      0.85667
5590         1    1971909    2126834    305      16  843       1.6471     0.049773
100506504    1    2103250    2125812     25       5  835      0.24741      0.40229
199990       1    2105899    2154159     62      11  787     -0.50103      0.69182
6497         1    2150134    2251652    180      26  763     -0.93096      0.82406
79906        1    2241719    2333190    245      34  696      -1.6188      0.94725
11079        1    2313214    2346883     56      12  791     -0.20772      0.58227
5192         1    2326241    2354010     33       6  811     0.065084      0.47405
9651         1    2397754    2446964     71       8  706       -1.346      0.91085
55229        1    2429975    2468061     62       5  763      -0.9875       0.8383
388585       1    2450184    2471684     25       4  600     -0.64783      0.74145
