GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
148398       1     809993     929961    147      17  683      0.28352      0.38839
26155        1     829583     944679    194      21  683     0.094532      0.46234
339451       1     845967     951099    198      21  683      0.23608      0.40668
84069        1     851872     960488    212      22  683      0.14542      0.44219
84808        1     860579     967473    208      21  683    -0.088186      0.53514
57801        1     884342     986608    216      21  683     -0.22893      0.59054
9636         1     898847     999920    252      20  683     -0.51065       0.6952
375790       1     905503    1041499    379      33  683       -0.888      0.81273
401934       1     957126    1059687    326      32  683      -2.1237      0.98315
54991        1     967198    1101736    516      43  683    -0.066103      0.52635
254173       1    1059286    1183315    652      53  683       1.6273     0.051837
8784         1    1088888    1192163    556      40  683       2.0275     0.021306
7293         1    1096706    1199703    527      31  683       1.8971      0.02891
51150        1    1102288    1217447    580      35  683       2.0617     0.019619
126792       1    1117629    1220421    529      34  683       2.1234     0.016859
388581       1    1127826    1232102    496      38  683       2.3412    0.0096106
118424       1    1139292    1259234    544      38  683       2.1966     0.014026
6339         1    1165816    1277409    443      45  683       2.1211     0.016959
116983       1    1177764    1293304    436      41  683       1.8472     0.032362
126789       1    1193962    1297057    381      33  683       1.3544     0.087802
54973        1    1196965    1310067    464      40  683       1.8052     0.035525
80772        1    1210136    1314276    454      38  683       1.6031     0.054462
83756        1    1216726    1319844    433      36  683       1.4023      0.08041
1855         1    1220658    1334509    443      34  683        1.422     0.077512
54587        1    1238071    1347183    396      25  683       1.4916     0.067903
54998        1    1259110    1360818    391      20  683       1.2784      0.10056
81669        1    1271091    1384718    424      27  683       1.3575     0.087311
55052        1    1287276    1392693    410      27  683       1.3836     0.083244
441869       1    1303800    1406824    369      28  683       0.9676      0.16662
643965       1    1311508    1413167    337      27  683      0.64799       0.2585
64856        1    1320903    1428262    379      31  683      0.65943      0.25481
219293       1    1328152    1455538    482      35  683      0.50514      0.30673
83858        1    1357139    1494852    546      34  683      0.11388      0.45467
55210        1    1397523    1520067    474      28  683    -0.045108      0.51799
339453       1    1420158    1525740    408      25  683    -0.059545      0.52374
29101        1    1427053    1560262    368      23  683      -0.2421      0.59565
