GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
148398       1     809993     929961    147      17  683       1.5391     0.061888
26155        1     829583     944679    193      21  683       1.3179     0.093773
339451       1     845967     951099    196      21  683      0.97897       0.1638
84069        1     851872     960488    207      21  683      0.72603      0.23391
84808        1     860579     967473    202      20  683      0.43853       0.3305
57801        1     884342     986608    200      19  683      0.16843      0.43312
9636         1     898847     999920    230      23  683    -0.052974      0.52112
375790       1     905503    1041499    349      29  683     -0.52845      0.70141
401934       1     957126    1059687    293      25  683      -1.3605      0.91316
54991        1     967198    1101736    455      36  683      0.67643      0.24938
254173       1    1059286    1183315    566      45  683       2.5844     0.004878
8784         1    1088888    1192163    482      34  683       2.5125    0.0059942
7293         1    1096706    1199703    466      32  683       2.5593    0.0052442
51150        1    1102288    1217447    516      29  683       2.7697    0.0028055
126792       1    1117629    1220421    467      28  683       2.4501    0.0071402
388581       1    1127826    1232102    440      30  683       2.6978    0.0034895
118424       1    1139292    1259234    470      36  683       2.7822    0.0026997
6339         1    1165816    1277409    378      28  683       2.4481    0.0071816
116983       1    1177764    1293304    369      30  683        2.561     0.005219
126789       1    1193962    1297057    317      24  683        2.355    0.0092603
54973        1    1196965    1310067    399      27  683       2.1732     0.014884
80772        1    1210136    1314276    393      28  683         1.82      0.03438
83756        1    1216726    1319844    374      26  683       1.1152      0.13237
1855         1    1220658    1334509    379      23  683      0.96987      0.16605
54587        1    1238071    1347183    349      18  683      0.74186      0.22909
54998        1    1259110    1360818    353      17  683      0.55232      0.29036
81669        1    1271091    1384718    382      21  683      0.47809      0.31629
55052        1    1287276    1392693    374      22  683      0.44827      0.32698
441869       1    1303800    1406824    337      25  683      0.11863      0.45278
643965       1    1311508    1413167    306      24  683     -0.15428      0.56131
64856        1    1320903    1428262    351      27  683     -0.25901      0.60219
219293       1    1328152    1455538    453      33  683     -0.29183      0.61479
83858        1    1357139    1494852    524      31  683     -0.51279      0.69595
55210        1    1397523    1520067    463      26  683     -0.30414      0.61949
339453       1    1420158    1525740    398      25  683     -0.24706      0.59757
29101        1    1427053    1560262    359      22  683     -0.26422      0.60419
643988       1    1483388    1585476    126      10  683     -0.24237      0.59575
142678       1    1500795    1615990     81       7  683     -0.21204      0.58396
8510         1    1517060    1620030      2       1  683     -0.47407      0.68227
728661       1    1541486    1674243     57       5  683      -1.4408      0.92518
728642       1    1583822    1705999    120       8  683      -1.4805      0.93064
9906         1    1606277    1727438    142      10  683       -1.268      0.89761
65220        1    1632671    1761508    174      12  683      -1.1848      0.88195
2782         1    1666725    1872552    362      15  683      -1.1215      0.86896
163688       1    1796266    1898733    253      13  683      -1.1446      0.87381
339456       1    1799029    1900740    272      15  683     -0.84105      0.79984
85452        1    1803390    1985276    373      21  683      0.58908       0.2779
2563         1    1900768    2012192    222      25  683       1.3154     0.094185
5590         1    1931909    2166834    655      52  683       -1.028      0.84802
100506504    1    2063250    2165812    276      31  683     -0.68371      0.75292
199990       1    2065899    2194159    361      36  683     -0.58891      0.72204
6497         1    2110134    2291652    683      87  683       1.1963      0.11579
79906        1    2201719    2373190    785     107  683      0.88598      0.18781
11079        1    2273214    2386883    530      83  683     -0.79053      0.78539
5192         1    2286241    2394010    502      91  683     -0.91307       0.8194
9651         1    2357754    2486964    611      80  683     -0.28129      0.61076
55229        1    2389975    2508061    524      65  683     -0.27749       0.6093
388585       1    2410184    2511684    419      47  683     -0.15383      0.56113
8764         1    2437291    2545268    471      40  683     -0.25193      0.59945
127281       1    2467899    2572908    432      27  683      -1.2176      0.88832
79258        1    2472078    2614499    483      30  683      -1.2549      0.89524
100287898    1    2522807    2756230    892      34  683      -1.3753      0.91547
140625       1    2888046    2989467    418      20  683      0.56478      0.28611
63976        1    2935565    3405185   1981     198  683      0.29282      0.38483
27237        1    3321147    3447677    544      57  683       1.7045     0.044144
1953         1    3354506    3578059    926     106  683      0.83417      0.20209
