GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,Mean.SVM.Score,Mean.FP.Rate
148398,1,849993,889961,243,43,313876,-0.66015,0.74542,0.978801765878374,0.0320741758241758
26155,1,869583,904679,188,33,297369,-0.066294,0.52643,1.00946862243162,0.0372115384615385
339451,1,885967,911099,150,31,291913,0.48129,0.31516,0.397379373040114,0.18032967032967
84069,1,891872,920488,162,40,287770,0.93112,0.1759,0.233020630129792,0.225357142857143
84808,1,900579,927473,137,33,316654,0.69344,0.24402,-0.0930237829245635,0.416964285714286
57801,1,924342,946608,137,25,327897,0.67153,0.25094,1.57858187995829,0.00347527472527472
9636,1,938847,959920,123,24,343989,1.3421,0.089784,0.523461778335426,0.114986263736264
375790,1,945503,1001499,337,37,328086,2.651,0.0040126,1.19570250435577,0.011978021978022
401934,1,997126,1019687,89,17,327748,1.7842,0.037193,-0.805596746469626,0.698489010989011
54991,1,1007198,1061736,278,26,319009,0.98446,0.16245,0.412191603763055,0.135604395604396
254173,1,1099286,1143315,264,30,313560,1.4233,0.077323,0.0666081008697458,0.304505494505495
8784,1,1128888,1152163,119,20,369657,1.7191,0.042798,0.241297214546485,0.239285714285714
7293,1,1136706,1159703,131,17,337129,0.96635,0.16693,0.585730040505401,0.107774725274725
51150,1,1142288,1177447,215,18,358946,1.0558,0.14552,1.31462900471563,0.0145467032967033
126792,1,1157629,1180421,147,11,363610,0.97545,0.16467,0.518688788453525,0.143063186813187
388581,1,1167826,1192102,121,18,322405,0.38436,0.35036,0.642131466178227,0.0734340659340659
118424,1,1179292,1219234,197,31,331822,0.56701,0.28535,0.804539797585608,0.0748901098901099
6339,1,1205816,1237409,182,37,299858,0.73924,0.22988,0.33354633052316,0.167774725274725
116983,1,1217764,1253304,186,45,292009,0.90539,0.18263,0.991803297599083,0.0354945054945055
126789,1,1233962,1257057,99,26,343516,0.61657,0.26876,0.929942992269689,0.0357005494505495
54973,1,1236965,1270067,156,34,334790,0.599,0.27459,1.42209435727716,0.00848901098901099
80772,1,1250136,1274276,121,28,320556,0.61657,0.26876,0.562868303420657,0.103612637362637
