GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,Mean.SVM.Score,Mean.FP.Rate
148398,1,849993,889961,16,2,385,0.35587,0.36097,2.17279976160449,0.0127777777777778
26155,1,869583,904679,9,1,385,1.7959,0.036252,1.26732124235087,0.138333333333333
339451,1,885967,911099,7,1,384,1.8483,0.032279,1.16050652233634,0.111111111111111
84069,1,891872,920488,10,2,521,1.0206,0.15373,0.639923448837065,0.1
84808,1,900579,927473,19,2,458,0.80716,0.20979,0.389794745173698,0.123888888888889
57801,1,924342,946608,27,2,386,1.1316,0.12889,0.783865927567371,0.101666666666667
9636,1,938847,959920,8,1,385,1.3596,0.086975,-0.030454963770368,0.358888888888889
375790,1,945503,1001499,20,4,380,0.43292,0.33253,-0.244066008875108,0.413888888888889
401934,1,997126,1019687,35,4,504,-0.61724,0.73146,-0.140813104569612,0.381111111111111
54991,1,1007198,1061736,117,6,795,-1.369,0.91451,-0.861732674700376,0.571666666666667
254173,1,1099286,1143315,95,8,781,0.88258,0.18873,1.50782387103656,0.0333333333333333
8784,1,1128888,1152163,54,7,787,0.7672,0.22148,0.135450614535257,0.273888888888889
7293,1,1136706,1159703,52,3,820,1.1798,0.11903,0.472420461776174,0.121666666666667
51150,1,1142288,1177447,103,3,877,1.2435,0.10684,-1.41373150191533,0.66
126792,1,1157629,1180421,87,3,876,1.2319,0.10899,-0.0244876024980105,0.372777777777778
388581,1,1167826,1192102,42,3,907,0.74541,0.22801,-0.388592341818569,0.369444444444444
118424,1,1179292,1219234,37,5,802,0.43505,0.33176,2.13474012815581,0.0788888888888889
6339,1,1205816,1237409,18,3,623,-0.11567,0.54604,0.625463159078981,0.134444444444444
116983,1,1217764,1253304,20,3,493,-0.83328,0.79766,-0.0340191601302068,0.379444444444444
126789,1,1233962,1257057,20,3,493,-0.83314,0.79762,0.679782138863972,0.215
54973,1,1236965,1270067,33,4,467,-1.06,0.85542,0.316260503536033,0.232777777777778
80772,1,1250136,1274276,21,2,437,-1.1745,0.87991,1.41226759220903,0.035
83756,1,1256726,1279844,21,2,537,-1.0062,0.84284,1.58830808989504,0.115555555555556
1855,1,1260658,1294509,31,2,690,-0.62042,0.73251,0.932686720482398,0.16
54587,1,1278071,1307183,70,4,879,-0.54132,0.70586,0.362363112680045,0.185
54998,1,1299110,1320818,74,4,885,-0.36229,0.64143,1.68810817864899,0.245
81669,1,1311091,1344718,43,4,773,-0.066045,0.52633,-0.0682512855837926,0.369444444444444
55052,1,1327276,1352693,32,3,735,0.15683,0.43769,0.495245822109592,0.245
441869,1,1343800,1366824,43,2,719,-0.0083739,0.50334,1.84644215093451,0.0427777777777778
643965,1,1351508,1373167,30,3,634,-0.24045,0.59501,-1.91265573586216,0.788333333333333
64856,1,1360903,1388262,6,1,382,-1.9133,0.97215,-0.181729272828832,0.419444444444444
219293,1,1368152,1415538,8,1,515,1.0454,0.14792,0.67737202031114,0.0872222222222223
83858,1,1397139,1454852,36,3,665,1.6764,0.046831,0.214655642496318,0.212222222222222
55210,1,1437523,1480067,20,4,706,0.84147,0.20004,0.0995461239917925,0.273333333333333
339453,1,1460158,1485740,15,1,887,0.55964,0.28786,-0.944650131296378,0.57
29101,1,1467053,1520262,56,2,824,0.52613,0.2994,-0.42398023435279,0.338888888888889
9906,1,1646277,1687438,15,2,524,-0.38269,0.64903,0.472763380565466,0.122777777777778
65220,1,1672671,1721508,65,7,755,-0.19255,0.57634,2.02113284391229,0.0505555555555556
2782,1,1706725,1832552,127,11,879,0.0028812,0.49885,-0.272551249688483,0.374444444444444
163688,1,1836266,1858733,36,3,460,-1.0096,0.84365,0.561207671559589,0.103333333333333
