GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
148398       1     809993     929961    147      17  556     -0.71077      0.76139
26155        1     829583     944679    194      21  556     -0.79128      0.78561
339451       1     845967     951099    198      21  556     -0.97641      0.83557
84069        1     851872     960488    212      22  556     -0.79111      0.78556
84808        1     860579     967473    208      21  556     -0.60287       0.7267
57801        1     884342     986608    216      21  556     -0.44167      0.67064
9636         1     898847     999920    252      20  556     -0.46402      0.67868
375790       1     905503    1041499    379      33  556     -0.45617      0.67587
401934       1     957126    1059687    326      32  556       -0.193      0.57652
54991        1     967198    1101736    516      43  556     -0.71113       0.7615
254173       1    1059286    1183315    652      53  556       1.3981     0.081047
8784         1    1088888    1192163    556      40  556       1.9733     0.024233
7293         1    1096706    1199703    527      31  556       2.0739     0.019043
51150        1    1102288    1217447    580      35  556       2.7418    0.0030552
126792       1    1117629    1220421    529      34  556       2.8543    0.0021568
388581       1    1127826    1232102    496      38  556        2.963    0.0015234
118424       1    1139292    1259234    544      38  556       2.9447    0.0016161
6339         1    1165816    1277409    443      45  556       2.9554    0.0015612
116983       1    1177764    1293304    436      41  556       2.8321    0.0023122
126789       1    1193962    1297057    381      33  556       2.5628     0.005192
54973        1    1196965    1310067    464      40  556       2.5717    0.0050607
80772        1    1210136    1314276    454      38  556       2.1319     0.016508
83756        1    1216726    1319844    433      36  556       1.5908     0.055829
1855         1    1220658    1334509    443      34  556       1.5348     0.062422
54587        1    1238071    1347183    396      25  556       1.5165     0.064695
54998        1    1259110    1360818    391      20  556       1.3357     0.090824
81669        1    1271091    1384718    424      27  556       1.4541     0.072966
55052        1    1287276    1392693    410      27  556       1.3495     0.088595
441869       1    1303800    1406824    369      28  556       1.0917      0.13747
643965       1    1311508    1413167    337      27  556       1.0313      0.15119
64856        1    1320903    1428262    379      31  556       1.2004        0.115
219293       1    1328152    1455538    482      35  556      0.94683      0.17186
83858        1    1357139    1494852    546      34  556      0.45469      0.32467
55210        1    1397523    1520067    474      28  556      0.33658      0.36822
339453       1    1420158    1525740    408      25  556      0.30929      0.37855
29101        1    1427053    1560262    368      23  556     0.086192      0.46566
643988       1    1483388    1585476    130      11  556    -0.067208      0.52679
142678       1    1500795    1615990     83       7  556     -0.14617      0.55811
8510         1    1517060    1620030      2       1  556      -1.0522      0.85364
728661       1    1541486    1674243     57       5  556      0.62993      0.26437
728642       1    1583822    1705999    122       9  556      0.66075      0.25438
9906         1    1606277    1727438    146      11  556      0.79304      0.21388
65220        1    1632671    1761508    178      13  556      0.80248      0.21114
2782         1    1666725    1872552    366      15  556       1.1445      0.12622
163688       1    1796266    1898733    254      14  556       1.4408     0.074823
339456       1    1799029    1900740    273      16  556       1.2813      0.10005
85452        1    1803390    1985276    374      21  556       1.1751      0.11997
2563         1    1900768    2012192    232      28  556     -0.31703      0.62439
5590         1    1931909    2166834    740      59  556     -0.51038      0.69511
100506504    1    2063250    2165812    331      40  556     -0.15366      0.56106
199990       1    2065899    2194159    421      48  556     -0.10796      0.54299
6497         1    2110134    2291652    748      97  556     -0.54665      0.70769
79906        1    2201719    2373190    852     118  556     -0.13142      0.55228
11079        1    2273214    2386883    570      94  556       1.0733      0.14156
5192         1    2286241    2394010    544      94  556       1.0918      0.13746
9651         1    2357754    2486964    710      87  556       0.7316      0.23221
55229        1    2389975    2508061    625      78  556    0.0037475       0.4985
388585       1    2410184    2511684    514      54  556     -0.50889      0.69459
8764         1    2437291    2545268    565      48  556     -0.75394      0.77456
127281       1    2467899    2572908    515      31  556     -0.86843      0.80742
79258        1    2472078    2614499    572      39  556     -0.90782      0.81801
100287898    1    2522807    2756230   1014      40  556      -1.1133       0.8672
140625       1    2888046    2989467    551      28  556     -0.54457      0.70698
63976        1    2935565    3405185   2294     219  556      -1.0209      0.84634
27237        1    3321147    3447677    584      70  556      0.19929      0.42102
1953         1    3354506    3578059    989     117  556     -0.09924      0.53953
127262       1    3491556    3596695    444      63  556     -0.51709      0.69745
49856        1    3497331    3616671    483      69  556     -0.33809      0.63235
7161         1    3519129    3702765    740     100  556      0.41461      0.33921
148870       1    3618965    3738209    574      56  556      0.37378      0.35428
388588       1    3639352    3742546    536      46  556      0.42996      0.33361
57470        1    3646784    3763068    656      41  556      0.41705      0.33832
9731         1    3678645    3823797    965      53  556     -0.54261       0.7063
1677         1    3723845    3851993    738      51  556     -0.79273      0.78603
339448       1    3755697    3866857    520      47  556      -0.7509      0.77364
55966        1    4665105    4893851   1404     156  556    -0.087512      0.53487
261734       1    5872870    6102618    947      57  556      0.31244      0.37735
8514         1    6002358    6211253    829      82  556    -0.080807       0.5322
26038        1    6111847    6290194    657      80  556     -0.63404      0.73697
6146         1    6195080    6309679    406      51  556      -1.0651      0.85659
388591       1    6216189    6331359    367      45  556      -0.9097      0.81851
23463        1    6231253    6346044    352      45  556      -1.0804      0.86001
390992       1    6254252    6355638    314      41  556      -1.1303      0.87082
387509       1    6257406    6371035    385      50  556      -1.4136      0.92127
11332        1    6274332    6503826    929      44  556     -0.93893      0.82612
54626        1    6425292    6534724    421      30  556     -0.11481       0.5457
83715        1    6434836    6571004    510      40  556      -0.2291       0.5906
8718         1    6470787    6577432    395      51  556      0.12137       0.4517
57449        1    6476152    6630121    616      51  556      0.02072      0.49173
79707        1    6531407    6664658    530      48  556      0.29077      0.38561
80835        1    6564987    6689817    493      54  556      0.25583      0.39904
3104         1    6590051    6699340    407      49  556     -0.18458      0.57322
9903         1    6600784    6712958    410      51  556     -0.22546      0.58919
148479       1    6623756    6734093    365      46  556     -0.18159      0.57205
90326        1    6634925    6745646    346      39  556     -0.41365      0.66044
55735        1    6644228    6811966    578      42  556     -0.68888      0.75455
23261        1    6795384    7879766   4342     277  556      -1.4458      0.92589
9341         1    7781329    7891492    431      51  556      -1.2539      0.89507
8863         1    7794413    7955241    744      58  556      -1.8032      0.96433
10911        1    7857672    7963551    581      45  556      -1.2745      0.89875
3604         1    7925931    8053225    504      49  556      -1.1541      0.87576
11315        1    7971714    8095342    351      35  556      -1.1274      0.87021
54206        1    8021779    8136393    328      31  556     -0.83626      0.79849
50651        1    8328171    8454227    423      54  556       1.2886     0.098774
473          1    8362464    8927699   1374      53  556       2.0564     0.019872
2023         1    8871059    8989151    420      50  556       2.9451    0.0016144
765          1    8955893    9085151    630     114  556       1.5867     0.056287
155184       1    9013359    9136404    583      87  556     -0.52589      0.70052
6518         1    9047005    9181763    651      68  556      -0.4422      0.67083
80045        1    9113472    9239229    566      62  556     -0.59344      0.72356
9563         1    9244822    9381396    722      96  556       1.0227      0.15323
80176        1    9285202    9479591   1003     132  556       2.0641     0.019506
84275        1    9549528    9692831    381      48  556       1.1064      0.13428
199953       1    9598932    9724935    356      40  556       1.3154     0.094186
5293         1    9661789    9839172    578      63  556       1.8875     0.029544
22883        1    9739079    9934550    703      48  556       1.5645     0.058854
56998        1    9858334   10020316    513      67  556      0.84167      0.19999
84328        1    9932168   10053460    329      47  556      0.97494      0.16479
64802        1    9953486   10095556    398      43  556      0.54199      0.29391
116362       1   10007255   10126078    335      33  556      0.35674      0.36064
10277        1   10043041   10291297    894      39  556     -0.76831      0.77885
23095        1   10220606   10491664   1144      39  556      -1.6567      0.95121
5226         1   10408884   10530565    456      40  556      -1.9993      0.97721
378708       1   10439944   10560239    409      35  556      -1.7877      0.96309
100526739    1   10440159   10562060    415      37  556      -1.8194      0.96557
1325         1   10459776   10562060    336      32  556      -1.6951      0.95497
1676         1   10470588   10582613    368      29  556      -1.5288      0.93685
5195         1   10485003   10740815    886      66  556     -0.52789      0.70121
54897        1   10646661   10906733    865     130  556       0.1956      0.42246
148345       1   10956530   11092094    501      69  556      0.49982       0.3086
23435        1   11022462   11135549    381      33  556      0.41593      0.33873
10747        1   11036580   11157296    401      30  556       0.6929      0.24418
6723         1   11064649   11170091    351      22  556      0.97109      0.16575
5394         1   11076675   11209961    397      18  556       1.1731      0.12039
2475         1   11116588   11372614    660      20  556       1.2433      0.10689
10218        1   11199346   11306038    261      11  556       1.1967      0.11571
29914        1   11283255   11398491    308      28  556      0.63268      0.26347
57540        1   11489295   11647640    627      46  556      0.51024      0.30494
26232        1   11657924   11764888    381      58  556      -1.2253      0.88977
93611        1   11664432   11773384    401      62  556      -1.2591        0.896
26270        1   11674150   11784411    396      64  556      -1.1086      0.86621
10459        1   11684537   11801678    405      71  556     -0.91919        0.821
374946       1   11701781   11830336    411      72  556      -1.2247      0.88966
57085        1   11746142   11860828    452      62  556     -0.92104      0.82148
284498       1   11773827   11899642    598      33  556     -0.49677      0.69032
4524         1   11795787   11916160    633      32  556     -0.45464      0.67532
1185         1   11816153   11953201    781      37  556     -0.78585      0.78402
4878         1   11855766   11957840    607      41  556      -1.1148      0.86753
4879         1   11867521   11968992    622      46  556       -1.184      0.88179
90231        1   11929645   12036485    532      34  556      -1.1576       0.8765
5351         1   11944724   12085599    612      40  556     0.073408      0.47074
9927         1   11990238   12123572    423      43  556      0.50215      0.30778
